"","Country","Year","KEI Index"
"587","Austria",2000,8.88
"588","Azerbaijan",2000,3.61
"589","Bangladesh",2000,1.77
"590","Bahrain",2000,6.85
"591","Barbados",2000,7.2
"592","Belarus",2000,4.89
"593","Belgium",2000,8.86
"594","Benin",2000,2.39
"595","Bolivia",2000,4.87
"596","Bosnia Herzegovina",2000,NA
"597","Botswana",2000,4.99
"598","Brazil",2000,5.48
"599","Bulgaria",2000,5.89
"600","Burkina Faso",2000,1.82
"601","Cambodia",2000,2.25
"602","Cameroon",2000,2.17
"603","Canada",2000,9.07
"604","Cape Verde",2000,3.45
"605","Colombia",2000,4.54
"606","Chile",2000,7.18
"607","China",2000,3.83
"608","Costa Rica",2000,6.13
"609","Cote D'Ivoire",2000,2.14
"610","Croatia",2000,6.59
"611","Cuba",2000,4.32
"612","Cyprus",2000,7.53
"613","Czech Republic",2000,7.46
"614","Denmark",2000,9.32
"615","Djibouti",2000,1.59
"616","Dominica",2000,NA
"617","Dominican Republic",2000,4.31
"618","Ecuador",2000,4.1
"619","Egypt",2000,4.29
"620","El Salvador",2000,4.32
"621","Eritrea",2000,NA
"622","Estonia",2000,8.15
"623","Ethiopia",2000,1.36
"624","Fiji",2000,4.72
"625","Finland",2000,9.22
"626","France",2000,8.53
"627","Georgia",2000,4.67
"628","Germany",2000,8.84
"629","Ghana",2000,3
"630","Guinea",2000,1.83
"631","Greece",2000,7.6
"632","Guatemala",2000,3.32
"633","Guyana",2000,4.47
"634","Haiti",2000,NA
"635","Honduras",2000,3.45
"636","Hong Kong",2000,8.15
"637","Hungary",2000,7.81
"638","Iceland",2000,8.68
"639","India",2000,3.14
"640","Indonesia",2000,3.02
"641","Iran",2000,3.6
"642","Ireland",2000,8.9
"643","Israel",2000,8.8
"644","Italy",2000,7.98
"645","Jamaica",2000,5.61
"646","Japan",2000,8.81
"647","Jordan",2000,5.58
"648","Kazakhstan",2000,4.58
"649","Kenya",2000,2.93
"650","Korea",2000,8.42
"651","Kuwait",2000,6.16
"652","Kyrgyz Rep.",2000,4.42
"653","Lao PDR",2000,1.92
"654","Latvia",2000,7.2
"655","Lebanon",2000,4.95
"656","Lesotho",2000,2.9
"657","Lithuania",2000,7.25
"658","Luxembourg",2000,8.51
"659","Macedonia",2000,4.76
"660","Madgascar",2000,2.01
"661","Malawi",2000,2.21
"662","Malaysia",2000,6.37
"663","Mali",2000,NA
"664","Malta",2000,7.08
"665","Mauritius",2000,5.36
"666","Mauritania",2000,2.09
"667","Mexico",2000,5.43
"668","Nepal",2000,2.06
"669","Mongolia",2000,4.31
"670","Moldova",2000,4.93
"671","Morocco",2000,3.74
"672","Mozambique",2000,1.76
"673","Mynamar",2000,NA
"674","Namibia",2000,4.51
"675","Netherlands",2000,9.34
"676","New Zealand",2000,9.19
"677","Nicaragua",2000,2.96
"678","Nigeria",2000,2.09
"679","Norway",2000,9.25
"680","Oman",2000,5.28
"681","Pakistan",2000,2.12
"682","Panama",2000,5.91
"683","Paraguay",2000,3.68
"684","Peru",2000,4.99
"685","Philippines",2000,4.59
"686","Poland",2000,7.23
"687","Portugal",2000,7.74
"688","Qatar",2000,6.01
"689","Romania",2000,5.66
"690","Russian Federation",2000,5.28
"691","Rwanda",2000,2.07
"692","Saudi Arabia",2000,4.6
"693","Senegal",2000,3.15
